,Unnamed: 0,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
4076,4282,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,39,471.65,12.09,0.4,"Aurobindo Unit III, India",No,0.0,0.48,347.0
5536,5742,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,28496,39894.4,1.4,0.02,"Aurobindo Unit III, India",No,3526.69,86.01,144.0
7930,8136,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,180,19026,37100.7,1.95,0.01,"Aurobindo Unit III, India",Yes,3279.29,61.22,233.0
2292,2449,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,17100,41724.0,2.44,0.04,"Aurobindo Unit III, India",No,3526.69,81.78,10.0
2306,2485,SO,DN,650,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,other,30,1030,3574.1,3.47,0.12,other,Yes,574.56,26.82,-223.5
1174,1175,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,12.01,0.4,Mylan (formerly Matrix) Nashik,Yes,4060.54,619.2275,-223.0
4135,4341,SCMS,ASN,111,Direct Drop,EXW,Air,HIV+,other,other,100,6636,407198.31250000006,53.775000000000006,0.8,other,Yes,11163.27,619.2275,232.0
499,499,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,30,80,2336.0,29.2,0.97,other,No,0.0,4.58,-192.0
4086,4292,SCMS,ASN,754,Direct Drop,EXW,Air,Adult,other,Generic,60,41900,143418.6,2.34,0.04,Hetero Unit III Hyderabad IN,Yes,16938.13,201.07,50.0
915,916,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,30,3991,65851.5,16.5,0.55,other,Yes,9898.8,105.36,-223.5
6193,6399,SCMS,ASN,535,Direct Drop,EXW,Air,Adult,other,Generic,30,24540,114111.0,4.65,0.16,other,Yes,17636.265,117.31,76.0
1182,1183,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,341222.4,7.2,0.12,"Cipla, Goa, India",Yes,3599.76,619.2275,27.0
6254,6460,SCMS,ASN,512,Direct Drop,CIP,Air,Adult,other,other,30,6900,163323.0,23.67,0.79,other,No,3526.69,320.11,132.0
8342,8548,SO,DN,13,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,4545,39223.35,8.63,0.29,Mylan (formerly Matrix) Nashik,No,3526.69,64.72,25.0
6578,6784,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,41900,179234.4,3.91,0.13,"Strides, Bangalore, India.",Yes,17636.265,251.29,40.0
7746,7952,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,4000,16000.0,4.0,0.07,"Cipla, Goa, India",No,3526.69,31.36,237.0
4916,5122,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,100,2041,163280.0,53.775000000000006,0.8,other,Yes,16654.29,352.03,99.0
8849,9055,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,2900,23200.0,8.0,0.13,"Aurobindo Unit III, India",No,3526.69,32.53,17.0
7761,7967,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,13577,78475.06,5.78,0.19,"Aurobindo Unit III, India",No,3526.69,169.19,107.0
5937,6143,SCMS,ASN,639,Direct Drop,FCA,Air,Pediatric,other,other,60,200,1900.0,9.5,0.16,other,Yes,757.42,3.14,92.0
3510,3716,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,60,6000,16320.0,2.72,0.05,"Cipla, Goa, India",Yes,654.72,26.93,271.0
8447,8653,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,1975,4542.5,2.3,0.04,"Cipla, Goa, India",No,3526.69,6.37,265.0
8118,8324,SO,DN,512,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,34733,199367.42,5.74,0.19,Mylan (formerly Matrix) Nashik,Yes,5989.25,246.62,343.0
9165,9371,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,4882,25044.66,5.13,0.17,"Aurobindo Unit III, India",Yes,0.0,54.0,145.0
9952,10158,SO,DN,650,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,18216,110571.12,6.07,0.2,Mylan (formerly Matrix) Nashik,Yes,7513.5,136.78,49.0
7263,7469,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,50,73.0,1.46,0.02,"Aurobindo Unit III, India",No,3526.69,0.14,70.0
514,514,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,40,476,52360.0,53.775000000000006,1.09875,other,Yes,9471.52,102.63,8.0
9619,9825,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,120,5900,114224.0,19.36,0.16,Mylan (formerly Matrix) Nashik,No,3526.69,117.42,392.0
509,509,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,30,250,5315.0,21.26,0.71,other,Yes,0.0,10.42,-45.0
4347,4553,SCMS,ASN,754,Direct Drop,CIP,Air,Adult,other,other,120,841,56010.6,53.775000000000006,0.55,other,Yes,359.53,69.29,188.0
7148,7354,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,2133,4479.3,2.1,0.01,"Aurobindo Unit III, India",Yes,4017.69,5.54,133.0
5669,5875,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,100,2954,236320.0,53.775000000000006,0.8,other,Yes,125.42,292.33,172.0
7684,7890,SO,DN,429,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,110369.61,2.21,0.04,Hetero Unit III Hyderabad IN,No,3526.69,113.46,272.0
4353,4559,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,11,240.14,21.83,0.73,"Aurobindo Unit III, India",No,0.0,0.25,243.0
2859,3065,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,1,2988,73206.0,24.5,1.09875,other,Yes,17636.265,90.56,279.0
8473,8679,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,240,969.6,4.04,0.13,Mylan (formerly Matrix) Nashik,No,3526.69,1.2,69.0
6450,6656,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,8.55,0.14,Hetero Unit III Hyderabad IN,Yes,17636.265,619.2275,185.0
8993,9199,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,180800.0,2.26,0.04,other,Yes,13300.01,223.65,237.0
4017,4223,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,120,62,1597.1,25.76,0.21,other,No,0.0,1.98,412.0
5006,5212,SCMS,ASN,8,Direct Drop,EXW,Air,HIV+,other,other,100,4000,320000.0,53.775000000000006,0.8,other,Yes,17636.265,376.64,40.0
2208,2365,SO,DN,639,From RDC,N/A - From RDC,Air,HIV+,SCMS from RDC,other,100,345,23115.0,53.775000000000006,0.67,other,Yes,1328.2,36.98,-223.5
9927,10133,SO,DN,512,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,120,17201,407198.31250000006,26.7,0.22,Mylan (formerly Matrix) Nashik,No,3526.69,619.2275,192.0
5540,5746,SCMS,ASN,207,Direct Drop,EXW,Air,Adult,other,Generic,120,14498,407198.31250000006,33.6,0.28,"Aurobindo Unit III, India",Yes,16359.2,619.2275,153.0
4392,4598,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,11000,58850.0,5.35,0.09,"Strides, Bangalore, India.",Yes,15089.11,97.1,96.0
9137,9343,SO,DN,639,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,90,735,8908.2,12.12,0.13,"Aurobindo Unit III, India",No,3526.69,19.21,68.0
864,865,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,Generic,60,4023,46988.64,11.68,0.19,"Aurobindo Unit III, India",Yes,0.0,92.1,-59.0
4110,4316,SCMS,ASN,333,Direct Drop,EXW,Air,HIV+,other,other,20,39,1248.0,32.0,1.09875,other,No,3526.69,1.28,101.0
7217,7423,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,11688,25129.2,2.15,0.04,"Cipla, Goa, India",Yes,5364.61,25.83,293.0
7924,8130,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,232310.32,4.12,0.14,"Strides, Bangalore, India.",No,3526.69,325.7,103.0
953,954,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,180,34,1547.68,45.52,0.08,other,Yes,1976.57,2.48,-223.5
280,280,SCMS,ASN,650,Direct Drop,EXW,Air,Pediatric,other,Generic,180,906,19071.3,21.05,0.09,"Aurobindo Unit III, India",Yes,3850.8,16.83,-223.5
1567,1629,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,180,638,50172.32,53.775000000000006,0.29,other,No,3526.69,77.13,-223.5
5676,5882,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,2,71.35,35.67,0.59,other,No,0.0,0.09,29.0
4613,4819,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,2744,244216.0,53.775000000000006,0.89,other,Yes,17636.265,342.39,104.0
3073,3279,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,180,54,382.47,7.08,0.03,"Aurobindo Unit III, India",No,0.0,0.39,60.0
3817,4023,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,138,1906.7,13.82,0.46,Mylan (formerly Matrix) Nashik,No,0.0,1.96,179.0
1034,1035,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,1778,18224.5,10.25,0.17,"Aurobindo Unit III, India",Yes,2601.0,619.2275,-223.5
3902,4108,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,84,30,330.11,11.0,0.13,other,No,0.0,0.71,53.0
603,603,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,30,100,1828.0,18.28,0.61,other,No,0.0,2.92,-223.5
2418,2597,SO,DN,111,From RDC,N/A - From RDC,Truck,HIV+,SCMS from RDC,other,25,19999,399980.0,20.0,0.8,other,Yes,1250.0,619.2275,-223.5
9725,9931,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,12386,28859.38,2.33,0.04,"Aurobindo Unit III, India",No,3526.69,62.22,108.0
9914,10120,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,14798,63631.4,4.3,0.07,"Cipla, Goa, India",No,3526.69,89.21,265.0
6315,6521,SCMS,ASN,48,Direct Drop,EXW,Air,Pediatric,other,Generic,30,14802,23091.12,1.56,0.05,"Aurobindo Unit III, India",Yes,7326.62,23.74,97.0
5052,5258,SCMS,ASN,608,Direct Drop,EXW,Air,HIV+,other,other,20,675,21600.0,32.0,1.09875,other,Yes,2908.88,26.72,142.0
4435,4641,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,30,41900,394191.54,4.53,0.15,"Aurobindo Unit III, India",Yes,0.0,619.2275,185.0
174,174,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,100,1116,78120.0,53.775000000000006,0.7,other,Yes,5175.72,124.99,-223.5
8409,8615,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,5.54,0.18,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,144.0
4953,5159,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,203,3395.39,16.73,0.56,Hetero Unit III Hyderabad IN,No,0.0,4.2,412.0
4813,5019,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,450,10244.69,22.77,0.38,"Cipla, Goa, India",No,0.0,22.09,42.0
8166,8372,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,7.72,0.13,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,270.0
3694,3900,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,180,27,478.2,17.71,0.07,"Aurobindo Unit III, India",No,0.0,0.49,137.0
4139,4345,SCMS,ASN,1046,Direct Drop,FCA,Air,Adult,other,other,60,4014,27495.9,6.85,0.11,other,Yes,4520.66,59.28,436.0
3700,3906,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,504,4158.0,8.25,0.28,Mylan (formerly Matrix) Nashik,No,3526.69,8.15,95.0
2671,2877,SCMS,ASN,207,Direct Drop,EXW,Air,HIV+,other,other,20,679,22067.5,32.5,1.09875,other,Yes,2211.04,22.69,72.0
9713,9919,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,3000,22500.0,7.5,0.12,"Aurobindo Unit III, India",Yes,0.0,48.51,138.0
4356,4562,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,4500,29025.0,6.45,0.22,"Cipla, Goa, India",Yes,4890.38,47.89,50.0
153,153,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,22500,277425.0,12.33,0.41,"Aurobindo Unit III, India",Yes,16095.39,443.88,-223.5
7987,8193,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,269592.96,3.64,0.12,"Strides, Bangalore, India.",No,3526.69,377.97,225.0
7648,7854,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,4.64,0.15,Hetero Unit III Hyderabad IN,Yes,17636.265,619.2275,231.0
5990,6196,SCMS,ASN,75,Direct Drop,EXW,Air,Adult,other,Generic,30,39960,193406.4,4.84,0.16,other,Yes,17636.265,239.24,87.0
8168,8374,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,163273.28,2.18,0.04,"Aurobindo Unit III, India",Yes,17636.265,192.17,57.0
1424,1464,SO,DN,608,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,90,271,4593.45,16.95,0.19,"Aurobindo Unit III, India",No,3526.69,7.35,-223.5
5056,5262,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,35,1874.71,53.56,0.89,"Aurobindo Unit III, India",No,0.0,1.93,316.0
5794,6000,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,1,2988,73206.0,24.5,1.09875,other,Yes,17636.265,90.56,321.0
7994,8200,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,123,244.77,1.99,0.03,Hetero Unit III Hyderabad IN,No,3526.69,0.3,299.0
2020,2147,SO,DN,237,From RDC,N/A - From RDC,Air,HIV+,SCMS from RDC,other,20,45,1215.0,27.0,1.09875,other,Yes,798.58,1.94,-223.5
431,431,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,20,2450,78400.0,32.0,1.09875,other,No,3526.69,125.44,-223.5
8363,8569,SO,DN,35,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,19100,214302.0,11.22,0.19,other,Yes,3148.12,353.6,27.0
4793,4999,SCMS,ASN,1046,Direct Drop,EXW,Air,Adult,other,Generic,60,2080,58240.0,28.0,0.47,Mylan (formerly Matrix) Nashik,Yes,3095.28,96.1,186.0
9120,9326,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,141036.48,3.12,0.1,"Strides, Bangalore, India.",No,3526.69,166.0,238.0
4895,5101,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,11,240.14,21.83,0.73,"Aurobindo Unit III, India",No,0.0,0.25,137.0
6584,6790,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,2548,33022.08,12.96,0.22,"Aurobindo Unit III, India",Yes,11188.53,46.3,146.0
1730,1792,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,28454,312994.0,11.0,0.37,"Aurobindo Unit III, India",Yes,8288.78,613.47,7.0
8990,9196,SO,DN,237,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,160,336.0,2.1,0.01,"Aurobindo Unit III, India",No,3526.69,0.42,190.0
3030,3236,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,6110,407198.31250000006,53.775000000000006,0.89,other,Yes,17636.265,559.02,122.0
73,73,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,100,150,10798.5,53.775000000000006,0.72,other,Yes,2698.04,21.17,-215.0
80,80,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,40,1375.6,34.39,0.11,other,No,0.0,2.7,-223.5
10034,10240,SO,DN,1046,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,100,4000,5200.0,1.3,0.01,"Aurobindo Unit III, India",Yes,3138.81,6.43,306.0
7614,7820,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,8.58,0.14,"Strides, Bangalore, India.",Yes,7150.25,619.2275,215.0
8561,8767,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,248160.0,4.7,0.16,Hetero Unit III Hyderabad IN,Yes,6951.84,306.97,316.0
2423,2602,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,1152,4492.8,3.9,0.06,Mylan (formerly Matrix) Nashik,Yes,1266.05,8.81,-193.0
2627,2833,SCMS,ASN,535,Direct Drop,EXW,Air,HIV+,other,other,100,2342,187360.0,53.775000000000006,0.8,other,Yes,17636.265,309.14,348.0
8122,8328,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,24768,61672.32,2.49,0.04,Hetero Unit III Hyderabad IN,Yes,11701.65,63.4,319.0
7315,7521,SO,DN,237,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,471,942.0,2.0,0.01,"Cipla, Goa, India",Yes,3170.64,2.03,50.0
9375,9581,SO,DN,429,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,90,608.4,6.76,0.11,Hetero Unit III Hyderabad IN,Yes,721.36,0.85,59.0
9250,9456,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,3564,55242.0,15.5,0.26,Mylan (formerly Matrix) Nashik,No,3526.69,91.15,171.0
3492,3698,SCMS,ASN,70,Direct Drop,EXW,Air,HIV+,other,other,20,25,800.0,32.0,1.09875,other,Yes,559.89,1.72,142.0
7973,8179,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,180214.98,2.42,0.04,Hetero Unit III Hyderabad IN,Yes,8443.89,252.66,156.0
3148,3354,SCMS,ASN,429,Direct Drop,EXW,Ocean,Adult,other,Generic,120,17587,407198.31250000006,33.4,0.28,other,Yes,17636.265,619.2275,209.0
1522,1562,SO,DN,207,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,11188,132018.4,11.8,0.2,Mylan (formerly Matrix) Nashik,Yes,9138.0,258.76,-73.0
8482,8688,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,4500,18180.0,4.04,0.13,Mylan (formerly Matrix) Nashik,No,3526.69,25.49,178.0
6946,7152,SO,DN,13,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,41900,303962.38,4.22,0.14,Mylan (formerly Matrix) Nashik,Yes,17636.265,501.54,25.0
4231,4437,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,51,466.28,9.14,0.15,"Aurobindo Unit III, India",No,0.0,0.48,156.0
5780,5986,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,90,3,51.13,17.04,0.19,"Aurobindo Unit III, India",No,0.0,0.05,243.0
4233,4439,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,13000,29900.0,2.3,0.04,"Aurobindo Unit III, India",No,3526.69,49.34,162.0
1246,1267,SO,DN,650,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,1341,22126.5,16.5,0.07,"Aurobindo Unit III, India",Yes,3478.0,35.4,-223.5
7330,7536,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,10000,112200.0,11.22,0.19,"Aurobindo Unit III, India",Yes,0.0,241.9,138.0
2159,2316,SO,DN,512,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,other,90,1987,64418.54,32.42,0.36,other,Yes,2465.0,103.07,-223.5
3316,3522,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,2853,253917.0,53.775000000000006,0.89,other,Yes,0.0,355.99,144.0
2249,2406,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,12.01,0.4,Mylan (formerly Matrix) Nashik,Yes,4579.42,619.2275,-223.5
2370,2549,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,125,1018.75,8.15,0.14,"Aurobindo Unit III, India",No,3526.69,1.63,-223.5
1736,1800,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,6000,52560.0,8.76,0.15,Mylan (formerly Matrix) Nashik,Yes,3338.35,103.02,22.0
